Undergraduate Course,UG Specialization,Interests,Skills,UG CGPA/Percentage,Certifications,Employment Status,Career Path
B.Sc,Computer Applications,Cloud computing,Python;SQL;Java,85,"Linux,Git",Yes,Software Developer
B.E,Computer Science Engineering,Technology,"Critical Thinking, Analytic Thinking, SQL, Programming, Work under Pressure, Logical Skills, Problem Solving skills",66.5,Microsoft certification ,Yes,Software Developer
BA,Psychology,Understand human behaviour,People management;Communication skills,64.6,Resilience psychology,No,Psychologist
MBA,Commerce,Sales/Marketing;Trading;Understand human behaviour;Home interior design,Accounting Skills;Critical Thinking,75.525,No,Yes,Accountant
B.Tech,Instrumentation Engineering,Technology,"
PLC Allen Bradley;PLC Ladder Logic;LabVIEW;Business Analysis;End-to-End ProjectManagement;Crossfunctional Team Leadership;Requirements Gathering;Lean Six Sigma;Lean six sigma blackbelt;Productivity Improvement",70.68,Extreme Productivity (Blinkist Summary),Yes,Engineer
B.Tech,Computer Science Engineering,Technology,"C,C++,HTML,Java",73.15,"C,C++,HTML,Java",Yes,Software Developer
BMS,Commerce,"Research, Sales/Marketing","Critical Thinking, Analytic Thinking, Communication Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Observation Skills, Reading",73.15,No,No,Accountant
B.Tech,Computer Science Engineering,Technology,NO,74.1,No,Yes,Software Developer
B.Tech,Computer Science Engineering,Technology,Programming Language skills;Critical Thinking;Linux;Python;SQL;Java,69.35,Redhat certification,Yes,Software Developer
B.Sc,Physics ,Research;Teaching;Technology;Understand human behaviour;Understand human body;Content Writing;Govt. Job;Service;Infrastructure,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Leadership;Editing;Problem Solving skills;Writing skills;Medical knowledge;HR;Good communication skills;Teaching,86.45,No,No,Graphic Designer
B.Com,Accountancy,Financial Analysis,"Accounting Skills, Analytic Thinking, Cost Accounting, Team work, Excel, Problem Solving skills, Writing, Tableau",63.745,Alteryx and Tableau,No,Financial Analyst
BE,Automobile Engineering,"Take risk for Profits, Technology, Entrepreneurship","Analytic Thinking, Gathering Informing, Communication Skills, Team work, Presentation Skills, Problem Solving skills",71.44,No,Yes,Engineer
MBA,Marketing ,"Sales/Marketing;Trading;Understand human behaviour;Digital marketing;Market reserach;Agriculture, services;Construction Manegement",Accounting Skills;Business Knowledge;Leadership;Problem Solving skills;Wealth Management,59,No,Yes,Marketing Manager
BE,Automation,Data analytics,Critical Thinking;Gathering Information;Presentation Skills;Python;SQL;Good communication skills,69.35,Machine learning with python ,No,Career related to Automation
BCA,Computer Applications,Technology,Communication skills;Writing skills;C++;Python;SQL;Java;Cloud Computing,71.2,No,No,Software Developer
